date,close,daily_return,volume,temperature,humidity,cloud_cover,wind_speed,good_weather
2026-03-11,248.87,-0.005315747402078297,4012239,16.3,71,55,14.3,1
2026-03-12,247.68,-0.00478161289026402,5547724,8.2,84,85,22.8,0
2026-03-13,246.28,-0.005652454780361804,4338431,2.4,58,50,19.8,0
2026-03-16,249.25,0.012059444534676,5674228,12.3,93,100,27.8,0
2026-03-17,256.11,0.027522567703109457,5840139,3.4,53,51,33.1,0
2026-03-18,251.6,-0.017609620866034237,5177047,-1.3,53,26,11.8,0
2026-03-19,250.37,-0.004888712241653326,4249458,1.5,68,59,9.1,0
2026-03-20,241.77,-0.03434916323840709,11314093,7.0,72,66,17.7,0
2026-03-23,248.44,0.027588203664639988,4972008,5.9,82,85,17.5,0
2026-03-24,240.59,-0.03159716631782317,4151491,3.4,56,20,14.8,0
2026-03-25,241.39,0.0033251589841638562,4207946,5.6,63,87,17.2,0
2026-03-26,241.67,0.0011599486308464524,3606840,14.9,61,82,20.0,0
2026-03-27,236.34,-0.022054868208714273,4853707,11.1,66,86,20.1,0
2026-03-30,237.25,0.0038503850385038785,3882602,13.6,59,55,19.6,1
2026-03-31,242.39,0.02166491043203367,4750293,20.8,58,85,19.7,0
2026-04-01,243.14,0.0030941870539213934,4228653,21.0,58,87,18.8,0
